index,forgetting_events,index_info
458,9.223372036854776e+18,"(4, 58)"
459,8.0,"(4, 59)"
460,7.0,"(4, 60)"
461,1.0,"(4, 61)"
462,4.0,"(4, 62)"
463,5.0,"(4, 63)"
464,0.0,"(4, 64)"
465,6.0,"(4, 65)"
466,8.0,"(4, 66)"
467,4.0,"(4, 67)"
468,7.0,"(4, 68)"
469,7.0,"(4, 69)"
470,9.0,"(4, 70)"
471,9.223372036854776e+18,"(4, 71)"
472,0.0,"(4, 72)"
473,3.0,"(4, 73)"
474,8.0,"(4, 74)"
475,4.0,"(4, 75)"
476,5.0,"(4, 76)"
477,5.0,"(4, 77)"
478,5.0,"(4, 78)"
479,2.0,"(4, 79)"
480,2.0,"(4, 80)"
481,4.0,"(4, 81)"
482,7.0,"(4, 82)"
483,9.223372036854776e+18,"(4, 83)"
484,12.0,"(4, 84)"
485,3.0,"(4, 85)"
486,1.0,"(4, 86)"
487,3.0,"(4, 87)"
488,5.0,"(4, 88)"
489,6.0,"(4, 89)"
490,9.223372036854776e+18,"(4, 90)"
491,6.0,"(4, 91)"
492,8.0,"(4, 92)"
493,12.0,"(4, 93)"
494,7.0,"(4, 94)"
495,11.0,"(4, 95)"
496,9.223372036854776e+18,"(4, 96)"
497,13.0,"(4, 97)"
498,8.0,"(4, 98)"
499,9.223372036854776e+18,"(4, 99)"
500,7.0,"(5, 0)"
501,5.0,"(5, 1)"
502,0.0,"(5, 2)"
503,1.0,"(5, 3)"
504,10.0,"(5, 4)"
505,9.223372036854776e+18,"(5, 5)"
506,10.0,"(5, 6)"
507,9.0,"(5, 7)"
508,3.0,"(5, 8)"
509,9.0,"(5, 9)"
510,9.223372036854776e+18,"(5, 10)"
511,1.0,"(5, 11)"
512,10.0,"(5, 12)"
513,8.0,"(5, 13)"
514,13.0,"(5, 14)"
515,0.0,"(5, 15)"
516,4.0,"(5, 16)"
517,11.0,"(5, 17)"
518,3.0,"(5, 18)"
519,3.0,"(5, 19)"
520,3.0,"(5, 20)"
521,13.0,"(5, 21)"
522,4.0,"(5, 22)"
523,6.0,"(5, 23)"
524,10.0,"(5, 24)"
525,3.0,"(5, 25)"
526,3.0,"(5, 26)"
527,6.0,"(5, 27)"
528,3.0,"(5, 28)"
529,1.0,"(5, 29)"
530,5.0,"(5, 30)"
531,12.0,"(5, 31)"
532,7.0,"(5, 32)"
533,1.0,"(5, 33)"
534,3.0,"(5, 34)"
535,3.0,"(5, 35)"
536,12.0,"(5, 36)"
537,9.0,"(5, 37)"
538,9.0,"(5, 38)"
539,3.0,"(5, 39)"
540,10.0,"(5, 40)"
541,8.0,"(5, 41)"
542,2.0,"(5, 42)"
543,11.0,"(5, 43)"
544,1.0,"(5, 44)"
545,7.0,"(5, 45)"
546,4.0,"(5, 46)"
