index,forgetting_events,index_info
585,24.0,"(5, 85)"
586,8.0,"(5, 86)"
587,0.0,"(5, 87)"
588,2.0,"(5, 88)"
589,17.0,"(5, 89)"
590,22.0,"(5, 90)"
591,14.0,"(5, 91)"
592,4.0,"(5, 92)"
593,14.0,"(5, 93)"
594,23.0,"(5, 94)"
595,8.0,"(5, 95)"
596,9.0,"(5, 96)"
597,24.0,"(5, 97)"
598,5.0,"(5, 98)"
599,20.0,"(5, 99)"
600,9.0,"(6, 0)"
601,12.0,"(6, 1)"
602,9.223372036854776e+18,"(6, 2)"
603,8.0,"(6, 3)"
604,17.0,"(6, 4)"
605,17.0,"(6, 5)"
606,7.0,"(6, 6)"
607,17.0,"(6, 7)"
608,18.0,"(6, 8)"
609,9.0,"(6, 9)"
610,9.0,"(6, 10)"
611,9.223372036854776e+18,"(6, 11)"
612,14.0,"(6, 12)"
613,8.0,"(6, 13)"
614,20.0,"(6, 14)"
615,4.0,"(6, 15)"
616,1.0,"(6, 16)"
617,15.0,"(6, 17)"
618,17.0,"(6, 18)"
619,3.0,"(6, 19)"
620,2.0,"(6, 20)"
621,20.0,"(6, 21)"
622,8.0,"(6, 22)"
623,1.0,"(6, 23)"
624,18.0,"(6, 24)"
625,14.0,"(6, 25)"
626,1.0,"(6, 26)"
627,21.0,"(6, 27)"
628,13.0,"(6, 28)"
629,17.0,"(6, 29)"
630,8.0,"(6, 30)"
631,5.0,"(6, 31)"
632,11.0,"(6, 32)"
633,1.0,"(6, 33)"
634,22.0,"(6, 34)"
635,5.0,"(6, 35)"
636,16.0,"(6, 36)"
637,10.0,"(6, 37)"
638,21.0,"(6, 38)"
639,11.0,"(6, 39)"
640,3.0,"(6, 40)"
641,6.0,"(6, 41)"
642,11.0,"(6, 42)"
643,9.0,"(6, 43)"
644,15.0,"(6, 44)"
645,6.0,"(6, 45)"
646,6.0,"(6, 46)"
647,4.0,"(6, 47)"
648,1.0,"(6, 48)"
649,7.0,"(6, 49)"
650,11.0,"(6, 50)"
651,2.0,"(6, 51)"
652,21.0,"(6, 52)"
653,12.0,"(6, 53)"
654,17.0,"(6, 54)"
655,18.0,"(6, 55)"
656,17.0,"(6, 56)"
657,28.0,"(6, 57)"
658,6.0,"(6, 58)"
