index,forgetting_events
460,1.0
461,0.0
462,9.223372036854776e+18
463,1.0
464,0.0
465,9.223372036854776e+18
466,0.0
467,9.223372036854776e+18
468,0.0
469,0.0
470,9.223372036854776e+18
471,1.0
472,0.0
473,1.0
474,1.0
475,0.0
476,9.223372036854776e+18
477,9.223372036854776e+18
478,9.223372036854776e+18
479,0.0
480,1.0
481,9.223372036854776e+18
482,1.0
483,1.0
484,1.0
485,1.0
486,9.223372036854776e+18
487,0.0
488,0.0
489,9.223372036854776e+18
490,9.223372036854776e+18
491,9.223372036854776e+18
492,1.0
493,1.0
494,9.223372036854776e+18
495,1.0
